cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
39392850000118;2020-10-12;true;8020002;OUTRAS ATIVIDADES DE SERVICOS DE SEGURANCA;SERVICOS ADMINISTRATIVOS;SERVICOS;45993264;TEIXEIRA DE FREITAS;BA;NORDESTE;SUL BAIANO;ATIVA
40449809000110;2021-01-18;true;7319002;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;04849026;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
42968706000191;2021-08-03;true;5612100;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;88240000;SAO JOAO BATISTA;SC;SUL;GRANDE FLORIANOPOLIS;ATIVA
47468027000177;2022-08-08;true;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;81480285;CURITIBA;PR;SUL;METROPOLITANA DE CURITIBA;ATIVA
47498617000142;2022-08-10;true;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;89082415;INDAIAL;SC;SUL;VALE DO ITAJAI;ATIVA
01656069000130;1997-01-03;true;5620103;CANTINAS SERVICOS DE ALIMENTACAO PRIVATIVOS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;13720000;SAO JOSE DO RIO PARDO;SP;SUDESTE;CAMPINAS;ATIVA
43365029000180;2021-09-01;true;5320202;SERVICOS DE ENTREGA RAPIDA;TRANSPORTE;SERVICOS;74440300;GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;ATIVA
47156099000189;2022-07-14;true;5223100;ESTACIONAMENTO DE VEICULOS;TRANSPORTE;SERVICOS;06401000;BARUERI;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
46592114000179;2022-05-30;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;09844115;SAO BERNARDO DO CAMPO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
29518739000171;2018-01-24;true;8230002;CASAS DE FESTAS E EVENTOS;SERVICOS ADMINISTRATIVOS;SERVICOS;23914425;ANGRA DOS REIS;RJ;SUDESTE;SUL FLUMINENSE;ATIVA
13856859000149;2011-06-27;true;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;38061150;UBERABA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;ATIVA
