cnpj;nivel_atividade
00003028000182;ALTO
00082402000182;BAIXO
00116082000134;MEDIO
00336701000104;ALTO
00353913000191;MEDIO
00366474000151;MEDIO
00648407000120;MEDIO
00831582000158;MEDIO
00864214000106;ALTO
00897523000182;ALTO
00924429000175;ALTO
01081755000120;MEDIO
01104937000170;ALTO
01107327000120;ALTO
01124647000198;ALTO
01129119000121;BAIXO
01214358000180;MEDIO
01272453000130;MUITO BAIXO
01392595000130;MEDIO
01411572000126;ALTO
01450780000134;ALTO
01579511000172;MEDIO
01654962000127;ALTO
01815071000709;ALTO
01917570000103;MEDIO
01957772000189;ALTO
01984370000173;ALTO
02033071000116;MEDIO
02044274000108;MEDIO
02105874000309;MEDIO
02291077000193;ALTO
02374009000198;BAIXO
02415583178043;MEDIO
02422296000164;BAIXO
02589435000149;ALTO
02667020000146;MUITO BAIXO
02757539000115;MEDIO
02796775000140;ALTO
02921449000207;MEDIO
02962213000120;MEDIO
02998301000181;ALTO
03014553000191;ALTO
03020761000101;ALTO
03039383000108;ALTO
03185513000102;ALTO
03206863000108;INATIVO
03245353000140;MEDIO
03342704000130;ALTO
03376365000103;MEDIO
03397944000132;MEDIO
03409815000117;MEDIO
03467321000199;ALTO
03489858000150;MEDIO
03491214000104;MEDIO
03604922000104;ALTO
03629299000136;ALTO
03847461000192;ALTO
04030182000102;ALTO
04065791000199;ALTO
04086653000196;MUITO BAIXO
04352876000158;MUITO BAIXO
04392738000100;BAIXO
04477391000190;MEDIO
04481077000181;MEDIO
04592921000141;MEDIO
04756679001842;MEDIO
04786742000145;MEDIO
04814851002687;MEDIO
04843536000120;ALTO
04994093000178;MEDIO
05009062000188;MEDIO
05058240000160;MEDIO
05358681000188;MUITO BAIXO
05547513000130;MEDIO
05556033000136;BAIXO
05573643000148;MEDIO
05843715000120;MEDIO
05863742000164;ALTO
05925065000161;ALTO
05960537000117;BAIXO
06033948000391;MEDIO
06140599000145;MEDIO
06146569000146;ALTO
06290655000128;ALTO
06340425000126;MEDIO
06881524000115;MEDIO
06977745000191;ALTO
06984865000116;MEDIO
06990005000195;MEDIO
07055230000105;MUITO BAIXO
07083914000102;MEDIO
07175877000162;MEDIO
07177178000151;ALTO
07195439000166;MEDIO
07233495000148;MEDIO
07287246000135;ALTO
07309969000198;MEDIO
07319840000160;MEDIO
07336287000174;MEDIO
07358779000160;MEDIO
07444210000207;MEDIO
07502558000114;BAIXO
07526785000180;BAIXO
07597949000240;MEDIO
07674136000126;MEDIO
07674850000114;BAIXO
07677034000245;ALTO
07688507000129;MEDIO
07712456000123;BAIXO
07714345000156;MEDIO
07742976000189;ALTO
07775262000177;ALTO
07827803000163;MEDIO
07884189000171;MEDIO
07940477000872;MEDIO
07943047000219;MEDIO
07952246004108;MEDIO
08023623000272;MEDIO
08023977000489;ALTO
08035012000163;ALTO
08088034000191;MUITO BAIXO
08183992000303;MUITO BAIXO
08198322000107;BAIXO
08209905000188;ALTO
08212118000195;MEDIO
08236300000186;MEDIO
08264888000181;MEDIO
08448269000490;ALTO
08479150000131;MEDIO
08510655000111;MEDIO
08624946000130;MEDIO
08634714000163;MUITO BAIXO
08716157000200;ALTO
08764621000153;ALTO
08786626000268;MEDIO
08796784000118;ALTO
08802207000191;MEDIO
08866388000110;MEDIO
08884409000120;ALTO
08926302000105;ALTO
08944475000148;ALTO
08970390000134;MEDIO
09043682000194;ALTO
09062828000149;ALTO
09114805000130;MEDIO
09175832000113;BAIXO
09228114000168;MEDIO
09280086000128;MEDIO
09294995000115;MEDIO
09295063000197;ALTO
09305994000129;ALTO
09462396000163;MEDIO
09473900000120;MEDIO
09492647001205;MEDIO
09533395000162;MEDIO
09568034000151;MEDIO
09654051000101;BAIXO
10226694000648;MEDIO
10238582000100;BAIXO
10323157000101;BAIXO
10344590000123;ALTO
10360825000251;ALTO
10520401000126;MEDIO
10526428000126;MEDIO
10562282000174;MEDIO
10590251000127;MEDIO
10790617000101;MEDIO
10907450000388;MEDIO
11114284036605;MEDIO
11259925000330;BAIXO
11405948000143;MEDIO
11424319000160;ALTO
11522876000114;MEDIO
11576924000157;ALTO
11683108000142;ALTO
11715375000154;ALTO
11726880000102;ALTO
11851802000202;MUITO BAIXO
11863360000133;MEDIO
11891252000174;MEDIO
11976790000161;ALTO
11988386000108;MEDIO
11992680000193;ALTO
12022803000126;ALTO
12061653000160;MEDIO
12080683000113;MEDIO
12202803000108;MEDIO
12262052000115;BAIXO
12463636000159;ALTO
12476176000101;ALTO
12524432000180;ALTO
12528708000107;MEDIO
12643561000198;BAIXO
12648266000124;BAIXO
12693074000130;ALTO
12714292000103;MEDIO
12772086000150;ALTO
12901149000120;ALTO
12999811000127;MEDIO
13095614000146;MEDIO
13220467000199;MEDIO
13262570000100;MEDIO
13323791000132;MEDIO
13345309001560;MEDIO
13354621000115;ALTO
13361336000121;ALTO
13383811000160;MEDIO
13391697000110;ALTO
13491759000166;ALTO
13584588000110;BAIXO
13780279000115;MEDIO
13794015000110;MEDIO
13959616000136;MEDIO
13998537000134;MEDIO
14038054000150;MEDIO
14076643000123;MEDIO
