cnpj;empresa_porte
00070698000111;GRANDE
00122836000169;MEI
00276234000166;MICRO
00360305121599;GRANDE
00479315000163;MEI
00618428000100;MICRO
00622416000141;GRANDE
00716207000167;MICRO
00763794000145;MICRO
00770659000127;MICRO
01026921003705;GRANDE
01140688000178;PEQUENA
01271734000178;MICRO
01287763000128;MICRO
01443904000154;MICRO
01465984000149;MEDIA
01489382000121;PEQUENA
01548981000179;GRANDE
01736053000138;MICRO
01879124000151;MICRO
01947991000187;MEDIA
02112577000110;MICRO
02339830000173;MEI
02341871000102;PEQUENA
02344291000160;MICRO
02372970000143;PEQUENA
02384757000151;MICRO
02521271000118;MICRO
02568486000194;PEQUENA
02580086000102;MICRO
02588652000114;PEQUENA
02679120000192;MEI
02860694000162;GRANDE
02865246000313;GRANDE
02883248000173;PEQUENA
02916265004157;GRANDE
02932074000191;GRANDE
03014381000156;MICRO
03062980000145;PEQUENA
03072024000225;PEQUENA
03196643000140;PEQUENA
03231846000201;MICRO
03346371000118;MICRO
03351046000143;MICRO
03401228000181;MEI
03428141000106;PEQUENA
03485052000193;PEQUENA
03594208000174;MICRO
03686720000302;MEDIA
03718016000122;MICRO
03820700000110;MICRO
03977785000145;MICRO
03983571000181;MICRO
04007335000192;MICRO
04109924000181;MICRO
04213170000105;MICRO
04233855000113;MICRO
04361897000130;PEQUENA
04494945000168;MEI
04510707000280;MEDIA
04712710000103;MICRO
04754270000149;MICRO
04866765000160;PEQUENA
04895728000180;GRANDE
04956084000192;PEQUENA
04961060000121;MEDIA
04963924000144;MICRO
04969882000159;MICRO
04992828000124;MICRO
05038925000145;GRANDE
05115005000183;MICRO
05135826000181;MICRO
05392569000163;GRANDE
05482870000168;PEQUENA
05561461000157;MICRO
05687071000128;MEDIA
05692513000124;MICRO
05700649000139;PEQUENA
05744921000182;MEI
05783757000112;MICRO
05817065000148;MICRO
05908713000171;MICRO
06029558000186;MICRO
06118323000160;MEDIA
06139550000172;MICRO
06164563000100;MICRO
06229532000181;MEI
06259013000166;MEI
06283274000111;MICRO
06342288000169;MICRO
06354191000176;MICRO
06941842000124;MICRO
06977095000184;PEQUENA
07064232000152;GRANDE
07090308000114;MICRO
07139583000185;PEQUENA
07209862000178;MICRO
07275368000101;MICRO
07351803000130;PEQUENA
07428094000143;MEI
07463197000144;MICRO
07468882000163;MICRO
07526557000100;GRANDE
07747911000126;MICRO
07755653000120;MEDIA
07756490000108;PEQUENA
07840316000130;PEQUENA
07877896000130;MICRO
07943281000327;PEQUENA
07964029000132;MICRO
07995775000193;PEQUENA
08023342001453;PEQUENA
08060417000232;PEQUENA
08177061000130;PEQUENA
08187373000206;MICRO
08217027000142;PEQUENA
08276183000184;PEQUENA
08278310000184;MICRO
08294959000199;PEQUENA
08343492000120;GRANDE
08412305000112;PEQUENA
08432644000160;MICRO
08503859000125;MICRO
08538580000187;MICRO
08567523000207;PEQUENA
08589631000108;MICRO
08605280001650;MEDIA
08614608000118;PEQUENA
08632049000179;MICRO
08678338000109;GRANDE
08781559000108;MICRO
08899940000176;GRANDE
