cnpj;optante_simples;optante_simei
00000000467448;false;false
00000000589632;false;false
00028415000173;false;false
00275977000111;true;false
00325276000492;false;false
00576704000298;false;false
00886828000199;false;false
00931489000115;true;false
01026686000152;true;false
01156464000154;false;false
01175596000123;false;false
01181518000131;false;false
01207843000126;false;false
01229308000176;true;false
01259681000170;true;false
01275777000121;false;false
01403356000139;false;false
01857567000141;false;false
01928798000107;false;false
01975079000139;false;false
02071685000192;true;false
02130360000214;false;false
02217319000107;false;false
02308008000145;true;false
02415583112107;false;false
02415583181184;false;false
02581911000185;false;false
02594424000157;false;false
02734022000100;true;false
02800026000140;false;false
02833870000177;false;false
02932074000191;false;false
02950811000189;false;false
02957320000160;true;false
02965468000146;false;false
02981429000132;false;false
03187787000130;true;false
03234943000177;true;false
03384155000167;true;false
03398017000137;true;false
03456351000108;true;false
03456487000100;false;false
03501566000195;false;false
03621100000123;true;false
03694937000100;false;false
03719755000139;true;false
03752218000190;true;false
03799098000187;true;false
03919480000187;false;false
03942255000161;false;false
03946153000114;true;false
03946325000150;false;false
04099894000170;false;false
04165359000170;false;false
04297060000179;true;false
04299646000334;true;false
04305070000109;true;false
04417441000144;true;false
04432889000137;true;false
04478924000159;true;false
04524057000302;false;false
04524628000147;true;false
04670869000285;false;false
04778345000121;true;false
05085404000149;true;false
05087967000176;false;false
05145993000103;true;false
05415942000154;true;false
05477217000100;true;false
05484278000103;false;false
05730396000308;false;false
05758386000119;true;false
05808422000101;true;false
05850655000253;"";""
05878397000132;false;false
05967024000138;false;false
05999689000123;true;false
06021442000109;true;false
06053779000432;false;false
06057223000171;false;false
06071001000103;false;false
06250045000109;false;false
06280175000186;true;false
06284457000151;false;false
06318833000181;true;false
06320130000198;true;false
06536644000185;false;false
06696035000193;true;false
07009992000167;false;false
07041490000113;true;false
07050365000170;true;false
07057779000120;false;false
07246673000175;false;false
07246943000148;false;false
07253086000103;true;false
07315114000170;true;false
07315999000298;false;false
07316419000104;false;false
07409047000152;true;false
07464451000129;false;false
07465671000177;false;false
07491164000108;true;false
07579933000124;false;false
07621126000394;"";""
07628528000159;false;false
07659215000168;false;false
07679140000187;false;false
07683886000407;"";""
07685979000128;false;false
07737463000180;true;false
07749348000125;false;false
07751427000170;true;true
07871529000120;true;false
07916392000182;false;false
07933222000297;"";""
07941675000184;true;false
07953678017537;false;false
07957567001171;false;false
07963394000556;false;false
07993125000109;true;false
08016712000372;false;false
08054198000106;false;false
08058149000133;true;false
08070127000199;false;false
08108416000130;false;false
08170849000115;false;false
08221284000158;false;false
08244883001088;false;false
08292495000262;false;false
08343492000120;false;false
08373328000165;false;false
08380296000125;true;false
08402943000152;false;false
08498758000103;false;false
08502656000114;false;false
08522523000100;false;false
08589233000183;false;false
